2차 지역코드	2차 지역명
101000	서울전체
101010	강남구
101020	강동구
101030	강북구
101040	강서구
101050	관악구
101060	광진구
101070	구로구
101080	금천구
101090	노원구
101100	도봉구
101110	동대문구
101120	동작구
101130	마포구
101140	서대문구
101150	서초구
101160	성동구
101170	성북구
101180	송파구
101190	양천구
101200	영등포구
101210	용산구
101220	은평구
101230	종로구
101240	중구
101250	중랑구
102000	경기전체
102010	가평군
102020	고양시
102030	고양시 덕양구
102040	고양시 일산동구
102050	고양시 일산서구
102060	과천시
102070	광명시
102080	광주시
102090	구리시
102100	군포시
102110	김포시
102120	남양주시
102130	동두천시
102140	부천시
102150	부천시 소사구
102160	부천시 오정구
102170	부천시 원미구
102180	성남시
102190	성남시 분당구
102200	성남시 수정구
102210	성남시 중원구
102220	수원시
102230	수원시 권선구
102240	수원시 영통구
102250	수원시 장안구
102260	수원시 팔달구
102270	시흥시
102280	안산시
102290	안산시 단원구
102300	안산시 상록구
102310	안성시
102320	안양시
102330	안양시 동안구
102340	안양시 만안구
102350	양주시
102360	양평군
102370	여주시
102380	연천군
102390	오산시
102400	용인시
102410	용인시 기흥구
102420	용인시 수지구
102430	용인시 처인구
102440	의왕시
102450	의정부시
102460	이천시
102470	파주시
102480	평택시
102490	포천시
102500	하남시
102510	화성시
103000	광주전체
103010	광산구
103020	남구
103030	동구
103040	북구
103050	서구
104000	대구전체
104010	남구
104020	달서구
104030	달성군
104040	동구
104050	북구
104060	서구
104070	수성구
104080	중구
105000	대전전체
105010	대덕구
105020	동구
105030	서구
105040	유성구
105050	중구
106000	부산전체
106010	강서구
106020	금정구
106030	기장군
106040	남구
106050	동구
106060	동래구
106070	부산진구
106080	북구
106090	사상구
106100	사하구
106110	서구
106120	수영구
106130	연제구
106140	영도구
106150	중구
106160	해운대구
107000	울산전체
107010	남구
107020	동구
107030	북구
107040	울주군
107050	중구
108000	인천전체
108010	강화군
108020	계양구
108030	미추홀구
108040	남동구
108050	동구
108060	부평구
108070	서구
108080	연수구
108090	옹진군
108100	중구
109000	강원전체
109010	강릉시
109020	고성군
109030	동해시
109040	삼척시
109050	속초시
109060	양구군
109070	양양군
109080	영월군
109090	원주시
109100	인제군
109110	정선군
109120	철원군
109130	춘천시
109140	태백시
109150	평창군
109160	홍천군
109170	화천군
109180	횡성군
110000	경남전체
110010	거제시
110020	거창군
110030	고성군
110040	김해시
110050	남해군
110053	창원시 마산회원구
110055	창원시 마산합포구
110057	창원시 성산구
110059	창원시 의창구
110070	밀양시
110080	사천시
110090	산청군
110100	양산시
110110	의령군
110120	진주시
110130	창원시 진해구
110140	창녕군
110150	창원시
110160	통영시
110170	하동군
110180	함안군
110190	함양군
110200	합천군
111000	경북전체
111010	경산시
111020	경주시
111030	고령군
111040	구미시
111050	군위군
111060	김천시
111070	문경시
111080	봉화군
111090	상주시
111100	성주군
111110	안동시
111120	영덕군
111130	영양군
111140	영주시
111150	영천시
111160	예천군
111170	울릉군
111180	울진군
111190	의성군
111200	청도군
111210	청송군
111220	칠곡군
111230	포항시
111240	포항시 남구
111250	포항시 북구
112000	전남전체
112010	강진군
112020	고흥군
112030	곡성군
112040	광양시
112050	구례군
112060	나주시
112070	담양군
112080	목포시
112090	무안군
112100	보성군
112110	순천시
112120	신안군
112130	여수시
112140	영광군
112150	영암군
112160	완도군
112170	장성군
112180	장흥군
112190	진도군
112200	함평군
112210	해남군
112220	화순군
113000	전북전체
113010	고창군
113020	군산시
113030	김제시
113040	남원시
113050	무주군
113060	부안군
113070	순창군
113080	완주군
113090	익산시
113100	임실군
113110	장수군
113120	전주시
113130	전주시 덕진구
113140	전주시 완산구
113150	정읍시
113160	진안군
114000	충북전체
114010	괴산군
114020	단양군
114030	보은군
114040	영동군
114050	옥천군
114060	음성군
114070	제천시
114080	증평군
114090	진천군
114100	청원군
114110	청주시
114120	청주시 상당구
114130	청주시 흥덕구
114140	충주시
114150	청주시 청원구
114160	청주시 서원구
115000	충남전체
115010	계룡시
115020	공주시
115030	금산군
115040	논산시
115050	당진시
115060	보령시
115070	부여군
115080	서산시
115090	서천군
115100	아산시
115110	연기군
115120	예산군
115130	천안시
115133	천안시 동남구
115135	천안시 서북구
115140	청양군
115150	태안군
115160	홍성군
116000	제주전체
116030	서귀포시
116040	제주시
117000	전국
118000	세종특별자치시
210000	아시아·중동전체
210100	대만
210200	말레이시아
210300	몽골
210400	미얀마
210500	방글라데시
210600	베트남
210700	사우디아라비아
210800	스리랑카
210900	싱가포르
211000	인도
211100	인도네시아
211200	일본
211300	중국.홍콩
211400	캄보디아
211500	태국
211600	필리핀
211700	그루지아
211800	네팔
212000	라오스
212100	레바논
212300	몰디브
212400	바레인
212600	부탄
212700	북한
212800	브루나이
212900	시리아
213000	아랍에미레이트연합국
213100	아프가니스탄
213200	영국령 인도양식민지
213300	예멘
213400	오만
213500	요르단
213600	우즈베키스탄
213700	이라크
213800	이란
213900	카자흐스탄
214000	카타르
214100	쿠웨이트
214200	타지키스탄
214300	투르크메니스탄
214400	동티모르
214500	파키스탄
