지역코드	지역명	2차 지역코드	1차 지역코드
101000	서울전체	101000	101000
101010	강남구	101010	101000
101020	강동구	101020	101000
101030	강북구	101030	101000
101040	강서구	101040	101000
101050	관악구	101050	101000
101060	광진구	101060	101000
101070	구로구	101070	101000
101080	금천구	101080	101000
101090	노원구	101090	101000
101100	도봉구	101100	101000
101110	동대문구	101110	101000
101120	동작구	101120	101000
101130	마포구	101130	101000
101140	서대문구	101140	101000
101150	서초구	101150	101000
101160	성동구	101160	101000
101170	성북구	101170	101000
101180	송파구	101180	101000
101190	양천구	101190	101000
101200	영등포구	101200	101000
101210	용산구	101210	101000
101220	은평구	101220	101000
101230	종로구	101230	101000
101240	중구	101240	101000
101250	중랑구	101250	101000
102000	경기전체	102000	102000
102010	가평군	102010	102000
102020	고양시	102020	102000
102030	고양시 덕양구	102030	102000
102040	고양시 일산동구	102040	102000
102050	고양시 일산서구	102050	102000
102060	과천시	102060	102000
102070	광명시	102070	102000
102080	광주시	102080	102000
102090	구리시	102090	102000
102100	군포시	102100	102000
102110	김포시	102110	102000
102120	남양주시	102120	102000
102130	동두천시	102130	102000
102140	부천시	102140	102000
102150	부천시 소사구	102150	102000
102160	부천시 오정구	102160	102000
102170	부천시 원미구	102170	102000
102180	성남시	102180	102000
102190	성남시 분당구	102190	102000
102200	성남시 수정구	102200	102000
102210	성남시 중원구	102210	102000
102220	수원시	102220	102000
102230	수원시 권선구	102230	102000
102240	수원시 영통구	102240	102000
102250	수원시 장안구	102250	102000
102260	수원시 팔달구	102260	102000
102270	시흥시	102270	102000
102280	안산시	102280	102000
102290	안산시 단원구	102290	102000
102300	안산시 상록구	102300	102000
102310	안성시	102310	102000
102320	안양시	102320	102000
102330	안양시 동안구	102330	102000
102340	안양시 만안구	102340	102000
102350	양주시	102350	102000
102360	양평군	102360	102000
102370	여주시	102370	102000
102380	연천군	102380	102000
102390	오산시	102390	102000
102400	용인시	102400	102000
102410	용인시 기흥구	102410	102000
102420	용인시 수지구	102420	102000
102430	용인시 처인구	102430	102000
102440	의왕시	102440	102000
102450	의정부시	102450	102000
102460	이천시	102460	102000
102470	파주시	102470	102000
102480	평택시	102480	102000
102490	포천시	102490	102000
102500	하남시	102500	102000
102510	화성시	102510	102000
103000	광주전체	103000	103000
103010	광산구	103010	103000
103020	남구	103020	103000
103030	동구	103030	103000
103040	북구	103040	103000
103050	서구	103050	103000
104000	대구전체	104000	104000
104010	남구	104010	104000
104020	달서구	104020	104000
104030	달성군	104030	104000
104040	동구	104040	104000
104050	북구	104050	104000
104060	서구	104060	104000
104070	수성구	104070	104000
104080	중구	104080	104000
105000	대전전체	105000	105000
105010	대덕구	105010	105000
105020	동구	105020	105000
105030	서구	105030	105000
105040	유성구	105040	105000
105050	중구	105050	105000
106000	부산전체	106000	106000
106010	강서구	106010	106000
106020	금정구	106020	106000
106030	기장군	106030	106000
106040	남구	106040	106000
106050	동구	106050	106000
106060	동래구	106060	106000
106070	부산진구	106070	106000
106080	북구	106080	106000
106090	사상구	106090	106000
106100	사하구	106100	106000
106110	서구	106110	106000
106120	수영구	106120	106000
106130	연제구	106130	106000
106140	영도구	106140	106000
106150	중구	106150	106000
106160	해운대구	106160	106000
107000	울산전체	107000	107000
107010	남구	107010	107000
107020	동구	107020	107000
107030	북구	107030	107000
107040	울주군	107040	107000
107050	중구	107050	107000
108000	인천전체	108000	108000
108010	강화군	108010	108000
108020	계양구	108020	108000
108030	미추홀구	108030	108000
108040	남동구	108040	108000
108050	동구	108050	108000
108060	부평구	108060	108000
108070	서구	108070	108000
108080	연수구	108080	108000
108090	옹진군	108090	108000
108100	중구	108100	108000
109000	강원전체	109000	109000
109010	강릉시	109010	109000
109020	고성군	109020	109000
109030	동해시	109030	109000
109040	삼척시	109040	109000
109050	속초시	109050	109000
109060	양구군	109060	109000
109070	양양군	109070	109000
109080	영월군	109080	109000
109090	원주시	109090	109000
109100	인제군	109100	109000
109110	정선군	109110	109000
109120	철원군	109120	109000
109130	춘천시	109130	109000
109140	태백시	109140	109000
109150	평창군	109150	109000
109160	홍천군	109160	109000
109170	화천군	109170	109000
109180	횡성군	109180	109000
110000	경남전체	110000	110000
110010	거제시	110010	110000
110020	거창군	110020	110000
110030	고성군	110030	110000
110040	김해시	110040	110000
110050	남해군	110050	110000
110053	창원시 마산회원구	110053	110000
110055	창원시 마산합포구	110055	110000
110057	창원시 성산구	110057	110000
110059	창원시 의창구	110059	110000
110070	밀양시	110070	110000
110080	사천시	110080	110000
110090	산청군	110090	110000
110100	양산시	110100	110000
110110	의령군	110110	110000
110120	진주시	110120	110000
110130	창원시 진해구	110130	110000
110140	창녕군	110140	110000
110150	창원시	110150	110000
110160	통영시	110160	110000
110170	하동군	110170	110000
110180	함안군	110180	110000
110190	함양군	110190	110000
110200	합천군	110200	110000
111000	경북전체	111000	111000
111010	경산시	111010	111000
111020	경주시	111020	111000
111030	고령군	111030	111000
111040	구미시	111040	111000
111050	군위군	111050	111000
111060	김천시	111060	111000
111070	문경시	111070	111000
111080	봉화군	111080	111000
111090	상주시	111090	111000
111100	성주군	111100	111000
111110	안동시	111110	111000
111120	영덕군	111120	111000
111130	영양군	111130	111000
111140	영주시	111140	111000
111150	영천시	111150	111000
111160	예천군	111160	111000
111170	울릉군	111170	111000
111180	울진군	111180	111000
111190	의성군	111190	111000
111200	청도군	111200	111000
